assay_type,canonical_smiles,molecule_chembl_id,relation,standard_relation,standard_type,standard_units,standard_value,target_chembl_id,target_pref_name,type,units,value
B,CN1C2CCC1C(c1ccc(Cl)nc1)C2,CHEMBL291498,=,=,Ki,nM,0.26,CHEMBL1907589,Neuronal acetylcholine receptor; alpha4/beta2,Ki,nM,0.26
B,CN1CCCCC1c1cccnc1,CHEMBL102246,=,=,Ki,nM,450.0,CHEMBL1907589,Neuronal acetylcholine receptor; alpha4/beta2,Ki,nM,450.0
B,c1cncc(C2CC3CCN2CC3)c1,CHEMBL105374,=,=,Ki,nM,1.0,CHEMBL1907589,Neuronal acetylcholine receptor; alpha4/beta2,Ki,nM,1.0
B,Clc1ccc(C2CC3CCC2N3)cn1,CHEMBL6623,=,=,Ki,nM,0.05,CHEMBL1907589,Neuronal acetylcholine receptor; alpha4/beta2,Ki,nM,0.05
B,c1cncc([C@@H]2CCCN2)c1,CHEMBL6200,=,=,Ki,nM,29.0,CHEMBL1907589,Neuronal acetylcholine receptor; alpha4/beta2,Ki,nM,29.0
B,c1ccc2c(c1)CC1CNCC2C1,CHEMBL373144,=,=,Ki,nM,34.0,CHEMBL1907589,Neuronal acetylcholine receptor; alpha4/beta2,Ki,nM,34.0
B,COc1cccc2c1CC1CNCC2C1,CHEMBL193005,>,>,Ki,nM,500.0,CHEMBL1907589,Neuronal acetylcholine receptor; alpha4/beta2,Ki,nM,500.0
B,Oc1cccc2c1CC1CNCC2C1,CHEMBL190502,=,=,Ki,nM,2.9,CHEMBL1907589,Neuronal acetylcholine receptor; alpha4/beta2,Ki,nM,2.9
B,COc1ccc2c(c1O)CC1CNCC2C1,CHEMBL190192,=,=,Ki,nM,13.0,CHEMBL1907589,Neuronal acetylcholine receptor; alpha4/beta2,Ki,nM,13.0
B,Fc1cccc2c1CC1CNCC2C1,CHEMBL191988,=,=,Ki,nM,6.5,CHEMBL1907589,Neuronal acetylcholine receptor; alpha4/beta2,Ki,nM,6.5
B,O=c1oc2ccc3c(c2o1)CC1CNCC3C1,CHEMBL190754,>,>,Ki,nM,500.0,CHEMBL1907589,Neuronal acetylcholine receptor; alpha4/beta2,Ki,nM,500.0
B,COc1ccc2c(c1)CC1CNCC2C1,CHEMBL187992,=,=,Ki,nM,1.4,CHEMBL1907589,Neuronal acetylcholine receptor; alpha4/beta2,Ki,nM,1.4
B,Oc1ccc2c(c1)CC1CNCC2C1,CHEMBL425906,=,=,Ki,nM,90.0,CHEMBL1907589,Neuronal acetylcholine receptor; alpha4/beta2,Ki,nM,90.0
B,FC(F)Oc1ccc2c(c1)CC1CNCC2C1,CHEMBL189968,=,=,Ki,nM,7.0,CHEMBL1907589,Neuronal acetylcholine receptor; alpha4/beta2,Ki,nM,7.0
B,CCOc1ccc2c(c1)CC1CNCC2C1,CHEMBL264986,=,=,Ki,nM,13.0,CHEMBL1907589,Neuronal acetylcholine receptor; alpha4/beta2,Ki,nM,13.0
B,CC(C)c1ccc2c(c1)CC1CNCC2C1,CHEMBL193889,=,=,Ki,nM,72.0,CHEMBL1907589,Neuronal acetylcholine receptor; alpha4/beta2,Ki,nM,72.0
B,Fc1ccc2c(c1)CC1CNCC2C1,CHEMBL191867,=,=,Ki,nM,2.0,CHEMBL1907589,Neuronal acetylcholine receptor; alpha4/beta2,Ki,nM,2.0
B,COC(=O)c1ccc2c(c1)CC1CNCC2C1,CHEMBL191784,=,=,Ki,nM,34.0,CHEMBL1907589,Neuronal acetylcholine receptor; alpha4/beta2,Ki,nM,34.0
B,CC(C)(O)c1ccc2c(c1)CC1CNCC2C1,CHEMBL192726,=,=,Ki,nM,264.0,CHEMBL1907589,Neuronal acetylcholine receptor; alpha4/beta2,Ki,nM,264.0
B,NC(=O)COc1ccc2c(c1)CC1CNCC2C1,CHEMBL371397,>,>,Ki,nM,500.0,CHEMBL1907589,Neuronal acetylcholine receptor; alpha4/beta2,Ki,nM,500.0
B,O=[N+]([O-])c1ccc2c(c1)CC1CNCC2C1,CHEMBL191174,=,=,Ki,nM,4.9,CHEMBL1907589,Neuronal acetylcholine receptor; alpha4/beta2,Ki,nM,4.9
B,c1ccc(-c2ccc3c(c2)CC2CNCC3C2)cc1,CHEMBL190013,>,>,Ki,nM,500.0,CHEMBL1907589,Neuronal acetylcholine receptor; alpha4/beta2,Ki,nM,500.0
B,COc1ccc(-c2ccc3c(c2)CC2CNCC3C2)cc1,CHEMBL189898,=,=,Ki,nM,370.0,CHEMBL1907589,Neuronal acetylcholine receptor; alpha4/beta2,Ki,nM,370.0
B,FC(F)(F)c1ccc(-c2ccc3c(c2)CC2CNCC3C2)cc1,CHEMBL189973,=,=,Ki,nM,200.0,CHEMBL1907589,Neuronal acetylcholine receptor; alpha4/beta2,Ki,nM,200.0
B,Nc1cccc(-c2ccc3c(c2)CC2CNCC3C2)c1,CHEMBL193144,>,>,Ki,nM,500.0,CHEMBL1907589,Neuronal acetylcholine receptor; alpha4/beta2,Ki,nM,500.0
B,c1cncc(-c2ccc3c(c2)CC2CNCC3C2)c1,CHEMBL190749,>,>,Ki,nM,500.0,CHEMBL1907589,Neuronal acetylcholine receptor; alpha4/beta2,Ki,nM,500.0
B,c1cc2c(c3c1CC1CNCC3C1)OCO2,CHEMBL373359,=,=,Ki,nM,5.7,CHEMBL1907589,Neuronal acetylcholine receptor; alpha4/beta2,Ki,nM,5.7
B,O=[N+]([O-])c1ccc2c(c1)C1CNCC(C2)C1,CHEMBL190826,=,=,Ki,nM,6.5,CHEMBL1907589,Neuronal acetylcholine receptor; alpha4/beta2,Ki,nM,6.5
B,O=[N+]([O-])c1cccc2c1C1CNCC(C2)C1,CHEMBL365578,=,=,Ki,nM,14.0,CHEMBL1907589,Neuronal acetylcholine receptor; alpha4/beta2,Ki,nM,14.0
B,Fc1ccc2c(c1F)CC1CNCC2C1,CHEMBL365965,=,=,Ki,nM,0.44,CHEMBL1907589,Neuronal acetylcholine receptor; alpha4/beta2,Ki,nM,0.44
B,O=c1cccc2n1C[C@@H]1CNC[C@H]2C1,CHEMBL497939,=,=,Ki,nM,0.23,CHEMBL1907589,Neuronal acetylcholine receptor; alpha4/beta2,Ki,nM,0.23
B,CN1CCC[C@H]1c1cccnc1,CHEMBL3,=,=,Ki,nM,1.6,CHEMBL1907589,Neuronal acetylcholine receptor; alpha4/beta2,Ki,nM,1.6
B,C[C@H](NC(=O)[C@H](C)NC(=O)[C@H](CS)NC(=O)[C@H](C)NC(=O)[C@@H]1CCCN1C(=O)[C@H](Cc1c[nH]cn1)NC(=O)[C@H](CO)NC(=O)[C@H](CS)NC(=O)[C@H](CS)NC(=O)CNC(=O)CN)C(=O)N[C@@H](CC(N)=O)C(=O)N[C@@H](CC(N)=O)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)N[C@@H](CS)C(N)=O,CHEMBL412032,=,=,IC50,nM,0.3,CHEMBL1907589,Neuronal acetylcholine receptor; alpha4/beta2,IC50,nM,0.3
B,CC[C@H](C)[C@H](NC(=O)[C@H](Cc1c[nH]cn1)NC(=O)[C@H](CCC(N)=O)NC(=O)[C@H](CC(N)=O)NC(=O)[C@H](CC(N)=O)NC(=O)CNC(=O)[C@H](C)NC(=O)[C@H](CS)NC(=O)[C@H](C)NC(=O)[C@@H]1CCCN1C(=O)[C@H](Cc1c[nH]cn1)NC(=O)[C@H](CO)NC(=O)[C@H](CS)NC(=O)[C@H](CS)NC(=O)CN)C(=O)N[C@@H](CS)C(N)=O,CHEMBL437423,=,=,IC50,nM,1.1,CHEMBL1907589,Neuronal acetylcholine receptor; alpha4/beta2,IC50,nM,1.1
B,CC[C@H](C)[C@H](N)C(=O)N[C@@H](CCCN=C(N)N)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CS)C(=O)N[C@@H](CS)C(=O)N[C@@H](CO)C(=O)N[C@@H](CC(N)=O)C(=O)N1CCC[C@H]1C(=O)N[C@@H](C)C(=O)N[C@@H](CS)C(=O)N[C@@H](CCCN=C(N)N)C(=O)N[C@H](C(=O)N[C@@H](CC(N)=O)C(=O)N[C@@H](CC(N)=O)C(=O)N1C[C@H](O)C[C@H]1C(=O)N[C@@H](Cc1c[nH]cn1)C(=O)N[C@H](C(=O)N[C@@H](CS)C(N)=O)C(C)C)C(C)C,CHEMBL2371820,=,=,IC50,nM,5.0,CHEMBL1907589,Neuronal acetylcholine receptor; alpha4/beta2,IC50,nM,5.0
B,CC(C)C[C@H](NC(=O)[C@H](CC(N)=O)NC(=O)[C@H](CO)NC(=O)[C@H](Cc1c[nH]cn1)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](Cc1c[nH]cn1)NC(=O)[C@H](CS)NC(=O)[C@@H](NC(=O)[C@@H]1CCCN1C(=O)[C@H](CC(N)=O)NC(=O)[C@H](CO)NC(=O)[C@H](CS)NC(=O)[C@H](CS)NC(=O)CN)C(C)C)C(=O)N[C@@H](CS)C(N)=O,CHEMBL265198,=,=,IC50,nM,8.0,CHEMBL1907589,Neuronal acetylcholine receptor; alpha4/beta2,IC50,nM,8.0
B,CC(C)C[C@H](NC(=O)[C@H](CO)NC(=O)[C@H](CS)NC(=O)[C@H](CS)NC(=O)CN)C(=O)N1CCC[C@H]1C(=O)N1CCC[C@H]1C(=O)N[C@@H](CS)C(=O)N[C@@H](C)C(=O)N[C@@H](C)C(=O)N[C@@H](CC(N)=O)C(=O)N[C@@H](CC(N)=O)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)N[C@@H](CS)C(N)=O,CHEMBL409988,=,=,IC50,nM,9.6,CHEMBL1907589,Neuronal acetylcholine receptor; alpha4/beta2,IC50,nM,9.6
B,C[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](CS)NC(=O)[C@@H]1CCCN1C(=O)[C@@H]1CCCN1C(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@H](CO)NC(=O)[C@H](CS)NC(=O)[C@H](CS)NC(=O)CN)C(=O)N[C@H](C(=O)N[C@@H](CC(N)=O)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CC(=O)O)C(=O)N[C@H](C=O)CS)[C@@H](C)O,CHEMBL429557,=,=,IC50,nM,0.75,CHEMBL1907589,Neuronal acetylcholine receptor; alpha4/beta2,IC50,nM,0.75
